Index,Overall Analysis,Q1,Q2,Q3
v_62,Neutral. Neutral. Thoughtful.,Positive.,Clip 1: Neutral. Clip 2: Neutral. Clip 3: Positive.,Normal.
v_63,Displeasure. Negative. Enthusiasm. Positive. Happiness. Positive.,Mixed.,Displeased. Neutral. Happy.,Normal.
v_64,Frustration Neutral Happiness,Mixed,Annoyed Neutral Happy,Normal
v_65,Regretful. Hopeful. Happy.,Mixed.,Contemplative. Content. Neutral.,Normal.
v_66,Recollecting.  Hopeful.  Relieved.,Mixed.,Reflective.  Hopeful.  Relieved.,Normal.
v_67,1. Neutral 2. Ambivalence 3. Happiness,Varied,1. Reflective 2. Excited 3. Contemplative,Normal
v_69,Resignation.  Neutral.  Melancholy.,Negative.  Positive.  Neutral.,Frustration.  Neutral.  Nostalgia.,Mildly Depressed.
v_7,Neutral Content Nostalgic,Varied,Neutral Positive Neutral,Normal
v_70,Sadness. Hope. Happiness.,Mixed.,Negative. Neutral. Positive.,Normal.
v_71,Sadness. Contemplative. Relaxed. Playful.,Mixed.,Clip 1: Somber. Clip 2: Peaceful. Clip 3: Lighthearted.,Mildly Depressed.
v_72,Disappointment. Hope. Joy.,Mixed.,Sadness. Hopeful. Neutral.,Mildly depressed.
v_73,Worried. Love. Hopeful. Sad.,Mixed.,"Concerned, Happy, Neutral.",Mildly Depressed.
v_74,Anxious Enthusiastic Positive Helpful,Mixed,"Anxious, Enthusiastic,Positive",Normal
v_75,Calm. Hopeful. Content.,Mixed.,Calm. Hopeful. Content.,Normal.
v_76,Concerned.  Thoughtful.  Tired.,Reflective.,Reflective.  Hopeful.  Content.,Normal.
v_77,Resignation,Mixed,Clip 1: Weary Clip 2: Neutral Clip 3: Casual,Mildly Depressed
v_79,Frustration.  Happiness.  Sadness.,Negative.,Negative.  Positive.  Neutral.,Mildly Depressed.
v_8,Calm. Hopeful. Content. Relaxed.,Hopeful.,"Calm, Positive, Neutral.",Normal.
v_81,Frustration.  Joyful.  Happy.,Mixed.,Negative.  Positive.  Neutral.,Normal.
v_82,Content.  Positive.  Relaxed.,Content.,Neutral.  Relaxed.  Neutral.,Normal.
v_83,Anxious. Interested. Positive.,Mixed.,Clip 1: Anxious Clip 2: Interested Clip 3: Positive,Normal.
v_84,Disappointment.  Relief.  Relaxed.,Varied.,Negative.  Positive.  Neutral.,Normal.
v_86,Anxiety. Neutral. Support. Neutral.,Anxiety.,Negative. Positive. Neutral.,Mildly depressed.
v_87,Frustration Neutral Admiration,Varied,"Negative, Positive, Neutral",Normal
v_88,Regret.  Happiness.  Positive.  Negative.,Regret.,Regretful.  Positive.  Happy.,Normal.
v_89,Relaxed Neutral Happy,Mixed.,Neutral. Positive. Neutral.,Normal.
v_9,Disappointed. Positive. Happy. Positive.,Negative. Positive. Neutral.,Negative. Positive. Neutral.,Mildly depressed.
v_90,Calm.  Neutral.  Content.,Calm.,Neutral.,Normal.
v_94,Neutral. Positive. Relaxed.,Mixed.,Neutral. Positive. Neutral.,Normal.
v_96,Regret.  Hopeful.  Happy.  Sad.,Mixed.,"Regretful, Hopeful, Happy, Sad.",Mildly Depressed.
v_97,First Audio: Calm  Second Audio: Neutral  Third Audio: Happy,Varied,Clip 1: Reflective Clip 2: Dispassionate Clip 3: Joyful,Normal
v_98,Resigned.  Neutral.  Calm.  Worried.,Resigned.,Clip 1: Defeated. Clip 2: Relaxed. Clip 3: Neutral. Clip 4: Anxious.,Mildly Depressed.
v_99,Concern. Neutral. Hopeful. Happy. Happy. Positive.,Mixed.,Neutral. Excited. Hopeful.,Normal.
